State_code,State, FIPS,smokers_count,smokers_percent,veggie_count,veggies_percent,fruit_count,fruit_percent,overweight_BMI_count,overweight_BMI_percent,obese_BMI_highschool_count,obese_BMI_highschool_percent,obese_BMI_20_plus_count,obese_BMI_20_plus_percent,healthy_BMI_20_plus_count,healthy_BMI_20_plus_percent,no_physical_activity_count,no_physical_activity_percent
NY,New York,36,5228,14.2,8477,77.6,7271,62.6,1668,16.2,1326,12.4,9409,26.1,9802,35.9,8966,26.3
NC,North Carolina,37,1078,17.9,4781,78.4,3597,56.7,456,15.5,415,15.4,1902,32.2,1761,30.7,1602,23.3
ND,North Dakota,38,838,19.8,3390,72.5,2931,59.6,329,16.2,306,14.9,1750,32.5,1446,29.3,1408,22.2
OH,Ohio,39,2169,22.5,7980,75.3,6477,57.1,,,,,3793,32.3,3354,30.9,3740,25.9
OK,Oklahoma,40,1010,19.6,4851,75.5,3411,48.9,256,16.5,269,17.1,2061,33,1865,28.9,2161,28.5
OR,Oregon,41,717,16.2,3976,83.5,3173,63.5,,,,,1413,29.7,1712,34.4,903,17.2
PA,Pennsylvania,42,1045,18,3984,75.8,3238,60.7,585,15.7,512,13.7,1940,31.2,1972,32,1538,22.9
RI,Puerto Rico,72,495,10.6,3932,75.5,2413,44.4,,,,,1647,31.4,1588,30.1,2475,41.7
SC,Rhode Island,44,730,14.4,4232,76.5,3681,62.4,348,15.9,290,15.2,1367,27.5,1578,33.1,1398,24.4
SD,South Carolina,45,1703,20,7822,74.6,5891,52.9,236,16.5,241,17.2,3545,32.8,2974,29.9,3311,26.9
TN,South Dakota,46,861,18.1,5146,73.9,4319,57.5,,,,,1662,30.5,1536,30.3,1156,18.9
TX,Tennessee,47,1178,22.1,3992,77.4,3052,54.9,333,17.5,375,20.5,1886,35.3,1637,28.7,1874,28.4
UT,Texas,48,1459,14.3,10080,80.5,7486,57.5,369,18,363,18.6,3483,34.1,3140,28.8,3370,25.2
VT,Utah,49,807,8.8,8427,80,6732,62.4,238,13.2,172,9.6,2699,26.4,3374,36.3,1967,15.7
VA,Vermont,50,906,17,4908,82.4,4022,66.2,2600,14.1,2277,12.6,1637,27.6,2174,36.1,1333,19.5
WA,Virginia,51,1262,15.3,6270,78.3,4900,59.9,498,15.5,387,12.7,2481,29.3,2581,32.2,2170,23.3
WV,Washington,53,1603,13.9,12275,83.2,9827,63.5,,,,,3687,29.3,4243,33.4,2524,17.6
WI,West Virginia,54,1523,24.8,4087,73.5,2898,50.1,227,16,279,19.5,2494,38.2,1735,26.6,2048,28.5
WY,Wisconsin,55,738,17.1,4243,76,3627,62.1,285,15,258,13.7,1569,31.7,1329,30.6,1137,20
PR,Wyoming,56,624,18.9,3934,78.5,3111,58.2,,,,,1160,28.4,1355,32.5,1176,23.1
